Doctor Name,Specialist,Phone Number,Email,Clinic Address
Dr. Aarti Sharma,Diabetes,+91-9254540279,dr..aarti.sharma@clinicindia.com,"ZKB Hospital, Hyderabad"
Dr. Rajeev Kapoor,Diabetes,+91-7518811307,dr..rajeev.kapoor@clinicindia.com,"SYL Hospital, Pune"
Dr. Nidhi Verma,Diabetes,+91-7826209413,dr..nidhi.verma@clinicindia.com,"PPE Hospital, Pune"
Dr. Manoj Reddy,Diabetes,+91-8485501366,dr..manoj.reddy@clinicindia.com,"NEB Hospital, Chennai"
Dr. Shalini Sinha,Diabetes,+91-7683340562,dr..shalini.sinha@clinicindia.com,"BXJ Hospital, Ahmedabad"
Dr. Prakash Iyer,Diabetes,+91-9841525981,dr..prakash.iyer@clinicindia.com,"IOZ Hospital, Hyderabad"
Dr. Kavita Joshi,Diabetes,+91-8468099338,dr..kavita.joshi@clinicindia.com,"NNJ Hospital, Delhi"
Dr. Amit Bhalla,Diabetes,+91-8096450753,dr..amit.bhalla@clinicindia.com,"EEG Hospital, Hyderabad"
Dr. Meena Gupta,Diabetes,+91-7120444659,dr..meena.gupta@clinicindia.com,"YUH Hospital, Delhi"
Dr. Rohit Khurana,Diabetes,+91-8141160083,dr..rohit.khurana@clinicindia.com,"UKM Hospital, Chennai"
Dr. Sunita Rao,Diabetes,+91-7727249681,dr..sunita.rao@clinicindia.com,"AYC Hospital, Chennai"
Dr. Ajay Mehta,Diabetes,+91-7131944395,dr..ajay.mehta@clinicindia.com,"WEH Hospital, Pune"
Dr. Renu Nair,Diabetes,+91-8554894930,dr..renu.nair@clinicindia.com,"RTB Hospital, Kolkata"
Dr. Kiran Patil,Diabetes,+91-8599319964,dr..kiran.patil@clinicindia.com,"LOX Hospital, Hyderabad"
Dr. Neha Bansal,Diabetes,+91-9696954702,dr..neha.bansal@clinicindia.com,"PZD Hospital, Hyderabad"
Dr. Ramesh Nair,Heart,+91-8037554276,dr..ramesh.nair@clinicindia.com,"KPO Hospital, Pune"
Dr. Anjali Prasad,Heart,+91-7259394519,dr..anjali.prasad@clinicindia.com,"YSA Hospital, Chennai"
Dr. Suresh Menon,Heart,+91-7658035795,dr..suresh.menon@clinicindia.com,"PTF Hospital, Pune"
Dr. Lakshmi Narayan,Heart,+91-9814405809,dr..lakshmi.narayan@clinicindia.com,"YFQ Hospital, Bengaluru"
Dr. Ashok Shetty,Heart,+91-7333845474,dr..ashok.shetty@clinicindia.com,"RLJ Hospital, Delhi"
Dr. Geeta Pillai,Heart,+91-9798307625,dr..geeta.pillai@clinicindia.com,"GFD Hospital, Chennai"
Dr. Nirav Modi,Heart,+91-7968237890,dr..nirav.modi@clinicindia.com,"MRV Hospital, Chennai"
Dr. Shyam Sunder,Heart,+91-9799416725,dr..shyam.sunder@clinicindia.com,"REG Hospital, Delhi"
Dr. Poonam Shah,Heart,+91-7848453471,dr..poonam.shah@clinicindia.com,"GXC Hospital, Ahmedabad"
Dr. Vikram Sinha,Heart,+91-8030327890,dr..vikram.sinha@clinicindia.com,"AXZ Hospital, Hyderabad"
Dr. Nitin Aggarwal,Heart,+91-9298044361,dr..nitin.aggarwal@clinicindia.com,"CSR Hospital, Bengaluru"
Dr. Shreya Desai,Heart,+91-7063958251,dr..shreya.desai@clinicindia.com,"LLQ Hospital, Chennai"
Dr. Mohan Krishna,Heart,+91-9956553451,dr..mohan.krishna@clinicindia.com,"JNI Hospital, Kolkata"
Dr. Rita Malhotra,Heart,+91-9187027306,dr..rita.malhotra@clinicindia.com,"EGN Hospital, Mumbai"
Dr. Dinesh Tiwari,Heart,+91-8461359854,dr..dinesh.tiwari@clinicindia.com,"MOU Hospital, Pune"
Dr. Anusha Rao,Thyroid,+91-8097915582,dr..anusha.rao@clinicindia.com,"XES Hospital, Bengaluru"
Dr. Suraj Mehta,Thyroid,+91-8048523854,dr..suraj.mehta@clinicindia.com,"EFM Hospital, Bengaluru"
Dr. Priya Tiwari,Thyroid,+91-9586031493,dr..priya.tiwari@clinicindia.com,"OIX Hospital, Kolkata"
Dr. Kalyan Das,Thyroid,+91-9844087017,dr..kalyan.das@clinicindia.com,"SJQ Hospital, Ahmedabad"
Dr. Sandhya Nair,Thyroid,+91-8612666945,dr..sandhya.nair@clinicindia.com,"PNJ Hospital, Delhi"
Dr. Rohan Joshi,Thyroid,+91-9867997500,dr..rohan.joshi@clinicindia.com,"NMN Hospital, Ahmedabad"
Dr. Veena Singh,Thyroid,+91-9886769843,dr..veena.singh@clinicindia.com,"QPI Hospital, Bengaluru"
Dr. Amit Deshmukh,Thyroid,+91-9497085633,dr..amit.deshmukh@clinicindia.com,"NIH Hospital, Hyderabad"
Dr. Lata Agarwal,Thyroid,+91-9373834078,dr..lata.agarwal@clinicindia.com,"ILF Hospital, Bengaluru"
Dr. Manoj Kulkarni,Thyroid,+91-9082247396,dr..manoj.kulkarni@clinicindia.com,"XNR Hospital, Delhi"
Dr. Sneha Iyer,Thyroid,+91-8555630036,dr..sneha.iyer@clinicindia.com,"MVW Hospital, Delhi"
Dr. Vikash Sharma,Thyroid,+91-7646619484,dr..vikash.sharma@clinicindia.com,"POD Hospital, Kolkata"
